Brand,Model,Year,Fuel Type,Car Type,Price (USD)
Porsche,911,2023,Petrol,SUV,106861
Porsche,911,2022,Electric,Coupe,104090
Porsche,911,2024,Hybrid,SUV,77022
Porsche,911,2021,Diesel,Electric,114225
Porsche,911,2021,Electric,SUV,74988
Porsche,911,2023,Diesel,Hatchback,91983
Porsche,911,2022,Diesel,Electric,97117
Porsche,911,2024,Hybrid,Hatchback,84808
Porsche,911,2022,Electric,Coupe,83065
Porsche,911,2021,Diesel,Hatchback,105917
Porsche,911,2022,Electric,Sedan,95581
Porsche,911,2022,Electric,Hatchback,81472
Porsche,911,2023,Electric,Truck,110439
Porsche,911,2024,Electric,Truck,76722
Porsche,911,2023,Diesel,Electric,64875
Porsche,911,2023,Hybrid,Hatchback,116858
Porsche,911,2023,Petrol,Coupe,115745
Porsche,911,2022,Diesel,SUV,86211
Porsche,911,2023,Hybrid,Electric,88001
Porsche,911,2023,Petrol,Truck,117517
Porsche,911,2024,Petrol,Electric,85204
Porsche,911,2022,Petrol,Truck,105154
Porsche,911,2020,Diesel,Truck,108190
Porsche,911,2024,Electric,Sedan,69837
Porsche,911,2024,Petrol,Sedan,100464
Porsche,911,2020,Electric,Hatchback,115194
Porsche,911,2021,Hybrid,SUV,79858
Porsche,911,2021,Diesel,Coupe,70620
Porsche,911,2023,Petrol,Hatchback,87712
Porsche,911,2022,Diesel,Electric,68786
Porsche,911,2024,Hybrid,Truck,77269
Porsche,911,2024,Electric,Hatchback,110537
Porsche,911,2023,Petrol,SUV,112363
Porsche,911,2021,Hybrid,Sedan,83843
Porsche,911,2023,Diesel,Sedan,78094
Porsche,911,2020,Hybrid,SUV,89154
Porsche,911,2022,Hybrid,Coupe,117629
Porsche,911,2020,Hybrid,SUV,104399
Porsche,911,2023,Hybrid,Sedan,81626
Porsche,911,2022,Diesel,SUV,95292
Porsche,911,2021,Diesel,Sedan,60914
Porsche,911,2023,Petrol,SUV,91219
Porsche,911,2021,Hybrid,Coupe,90312
Porsche,911,2024,Diesel,Hatchback,109013
Porsche,911,2020,Hybrid,Electric,88993
Porsche,911,2024,Hybrid,Sedan,74474
Porsche,911,2024,Electric,SUV,84916
Porsche,911,2021,Hybrid,Electric,89741
Porsche,911,2022,Hybrid,SUV,98460
Porsche,911,2022,Petrol,Electric,88856
